Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Junior Python Developer / Data Scientist,$115K - $190K,Junior Python Developer / Data Scientist,4.3,Stratagem Group,"Valley Forge, PA",1 to 50 Employees,2007,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
Data Engineer,$115K - $190K,"IZEA was built to connect the worlds top brands with influential content creators and publishers to enable influencer marketing and content production at scale. With over 500,000 Creators reaching over 3 billion fans and followers around the globe, IZEA is unmatched in its industry experience, network diversity, and technology ecosystem. A career at IZEA offers countless ways to make an impact in a fast-growing organization!",3.9,"IZEA, Inc","Orlando, FL",51 to 200 Employees,2006,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million (USD)
Machine Learning Engineer,$115K - $190K,"MORSE is an innovative, employee-owned, tech company located in Kendall Square in Cambridge, MA specializing in solving multi-disciplinary problems faced by the US National Security Ecosystem. Our specially selected team of engineers, software developers and scientists develop algorithms, software integrated prototypes and solutions for Artificial Intelligence, Machine Learning, Manned and Unmanned Aerial Vehicles, Mission Planning, and Situational Awareness.


MORSE is searching for innovative candidates with expertise in using state-of-the-art machine learning algorithms for aerospace applications. The candidate will be responsible for acquiring truth data, integrating algorithms, testing algorithms, combining algorithms, reviewing literature to stay on top of the latest-and-greatest methods, analyzing data from field tests, and developing advanced algorithms. MORSE's machine learning focuses both on computer vision-based problems (with deep learning solutions) and data analysis of sparse data sets. The candidate will work with MORSE's current team of engineers to transition algorithms to production, which may run on a server or on a real-time embedded system. The candidate must also be capable of clearly communicating concepts to engineers and stakeholders.

Requirements and Qualifications:

US CITIZENSHIP REQUIRED, or the ability to obtain a U.S. Security Clearance

Masters or Doctorate in Aerospace Engineering, Mechanical Engineering, Applied Mathematics, Physics, Computer Science, or related field

Solid understanding of physics, linear algebra, statistics, algorithms, optimization, and machine learning methods

Proficiency in Python

Experience with Docker is a plus

Experience with TensorFlow, PyTorch, Keras, or Dlib is a plus

Experience with Java, C#, or C/C++ is a plus

Experience with web programming, including React and Django is a plus

Experience with automated testing, and CI platforms like Jenkins, is a plus

Good communication skills

Self-starter and driven


The team at MORSE takes pride in being the smart team that is easy to work with. We focus on steady, long-term success while maintaining a collaborative, enjoyable work experience for its employees. Our team values work-life balance through flexibility and other programs, along with a comprehensible benefits package for employees and families. For more information, please visit www.morsecorp.com.",5.0,MORSE Corp,"Cambridge, MA",1 to 50 Employees,2014,Company - Private,-1,-1,Less than $1 million (USD)
Data Analyst/Lead Collateral Analyst,$115K - $190K,"At FHLB Des Moines, we work each day to develop an inclusive culture that supports and leverages the complexity of a diverse workforce. This enables us to effectively serve the needs of our members and help them succeed.",3.5,FHLB Des Moines,"Des Moines, IA",201 to 500 Employees,1932,Company - Private,Banks & Credit Unions,Finance,$500 million to $1 billion (USD)
"Clinical Laboratory Scientist CLS , Medical Data Scientist",$47K - $85K,An Oncology Research Laboratory in Silicon Valley is actively seeking a Clinical Laboratory Scientist / Medical Data Scientist to join their growing organization.,3.4,Clinical Management Consultants,"Menlo Park, CA",1 to 50 Employees,-1,Company - Private,Staffing & Outsourcing,Business Services,Less than $1 million (USD)
Senior Data Scientist - Computational Biology,$47K - $85K,"SENIOR DATA SCIENTIST - COMPUTATIONAL BIOLOGY
SAN FRANCISCO BAY AREA
$140,000-$170,000 + EQUITY + BENEFITS
Seeking a new challenge revolving around the development of statistical and machine learning methods for image analysis? A team in the Bay Area is looking for an experienced data scientist to come in and help develop the next revolution in imaging. Should you be looking for the chance to work in a fast-paced and collaborative team working with cutting-edge technology, apply now!
THE ROLE
As the Senior Data Scientist - Computational Biology, your responsibilities will include:
Applying machine learning/computer vision analyses to imaging data
Working closely with scientists to design experiments and support internal and external users
Collaborating cross-functionally with the engineering & wet-lab teams to improve this company's cutting-edge platform
YOUR SKILLS AND EXPERIENCES:
The successful Senior Data Scientist - Computational Biology will have the following skills and experience:
PhD in Bioinformatics/Biomedical Imaging, previous industry experience preferred
Specialist in working with image analysis (microscopy experience is highly valued)
Exceptional programming knowledge around Python (preferred), Matlab or R acceptable as well
Strong background in statistics & machine learning
Ability to speak confidently with scientists (extremely strong scientific background)
Knowledge of C/C++ and/or GCP environments is a plus
THE BENEFITS:
Generous Salary: $140,000-$170,000 Base Salary
Equity in a fast-growing start-up
Comprehensive benefits package (amazing healthcare!)
Employer-Sponsored 401k
Unlimited PTO Policy
Beautiful building with a stocked kitchen
And much more!
HOW TO APPLY:
Please register your interest by sending your CV to Riley Hsia via the Apply link on this page.",4.0,Harnham,"Palo Alto, CA",51 to 200 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
Aviation Data Analyst,$47K - $85K,"CAMP Systems is the leading provider of aircraft compliance and health management services to the global business aviation industry. CAMP is the pre-eminent brand in its industry and is the exclusive recommended service provider for nearly all business aircraft manufacturers in the world. Our services are delivered through a“SaaS plus” model and we support over 20,000 aircraft on our maintenance tracking platform and over 31,000 engines on our engine health monitoring platform. Additionally, CAMP provides shop floor management ERP systems to over 1,300 aircraft maintenance facilities and parts suppliers around the world. CAMP has grown from a single location company in 2001, to over 1,000 employees in 13 locations around the world.",3.1,CAMP Systems,"Tinton Falls, NJ",501 to 1000 Employees,1968,Company - Private,Internet,Information Technology,$100 to $500 million (USD)
"Sr. Scientist/Principal Scientist, Drug Discovery",$47K - $85K,"Chimeron Bio, Inc. is a preclinical stage biotech company advancing a pipeline of novel RNA therapeutics across multiple therapeutic areas using its proprietary ChaESAR™ platform. We are seeking talented scientists to join our growing team in Philadelphia, PA. This position will allow for strong growth potential, and an opportunity to work in an energizing and highly collaborative environment. The role offers an unparalleled experience to develop RNA based drugs across multiple therapeutic areas. As an early employee, the candidate will have direct insight into the company’s vision and will be afforded the ability to make a broad impact on the future of the Company.",-1,Chimeron Bio,"Philadelphia, PA",-1,-1,-1,-1,-1,-1
Database Administrator and Data Analyst,$47K - $85K,"Duties:

The Database Administrator and Data Analyst at Lakeland Bank is responsible for the security, integrity and performance of a database. Ensure that all appropriate parties can easily use and access data by creating security policies and measures. Additionally, be involved in the planning and development of the database that will store all required information.

Key Responsibilities
Maintain, manage, troubleshoot and help design SQL database environment to support organizational needs
Work to maintain database performance and optimize database indexes through performance tuning
Implement data security standards, including user permissioning and guide the entitlement review process
Assist with development of ETL processes and diagnosing/remedying resource conflicts.
Design backup and disaster recovery processes for server and associated data
Manage database physical structure and functional capabilities, database security, data back-up, and recovery specifications
Responsible for developing automated processes and notifications.
Install new system and application releases as well as test new versions of the database-management system
Interact with data analysts and report developers to provide end-to-end support and problem resolution
Provide detailed analysis, and forecast to align resource requirements to organizational and departmental projects and key strategies
Requirements:

Minimum Requirements
Bachelor’s degree in a related field of study.
Advanced knowledge of database structure and theory.
Proficient in Microsoft Business Intelligence platform including:
Microsoft SQL Server.
Microsoft SQL Server Reporting Services.
Microsoft SQL Server Integration Services.
Experienced in performing SQL installations, updates, and patches.
Working knowledge of database structures and ETL processes.
3 years professional experience with data warehousing.
Ability to work with limited oversight and make informed decisions.
Experience working with others in team-based development.
Proven experience as Database administrator.
Experience in Data modeling and Data architecture.
Must be bondable.
Employment Eligibility:

All Lakeland Bank employees must be bondable. FBI background checks are required to confirm eligibility for bonding. Note: A guilty plea or criminal conviction will not necessarily preclude employment at Lakeland Bank.

Lakeland Bank is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, pregnancy, genetic information, national origin, disability, protected veteran status or any other characteristic protected by law",3.1,Lakeland Bank,"Oak Ridge, NJ",501 to 1000 Employees,-1,Subsidiary or Business Segment,Investment Banking & Asset Management,Finance,$100 to $500 million (USD)
Senior Data Scientist,$47K - $85K,"Job Description:
At Fidelity’s Artificial Intelligence Center of Excellence (COE), you won’t be just tinkering around the edges, you’ll be building critical solutions that will benefit our clients for years to come. We work closely with business stakeholders, collect requirements and deliver high value AI/ML solutions that drive customer and business value. Those of us who love to work with data see this as the pinnacle of opportunities that you cannot find anywhere else in the industry.
The AI COE is seeking a Senior Data Scientist with experience in Virtual Assistants or chatbots, Natural Language Processing/text analytics, machine learning, various deep learning related technologies, predictive and prescriptive analytics.
The Expertise You Have
PhD in Computer Science with extensive research papers on Natural Language Processing, OR Master’s Degree in Computer Science, Statistics, Data Science or similar technical discipline with at least 5 years relevant professional experience
Deep understanding of Machine Learning & Deep Learning algorithms
Knowledge of most of the following quantitative fields: Natural Language Processing, Information Retrieval, Machine Comprehension, Question Answering/Conversational AI, Reinforcement Learning, Knowledge Graph, Causal Inference, and Design of Experiment
Statistical and data science programming skills, such as Python and R
The Skills You Bring
Experience in Big Data, search, NLP, and chatbot technologies such as Elasticsearch and Solr
Knowledge of Deep Learning and related tools such as TensorFlow, Keras, MXNET, or H2O is preferred
Experience deploying NLP solutions in a commercial environment
The Value You Deliver
Manage and guide data science and data engineering elements of AI projects
Set a strategic direction for data identification, collection and qualification activities
Lead data analysis for multiple projects with diverse scope and complex business and technical challenges across several business units and functions
Implement new technologies in a production environment with product, IT, and data engineering teams
Present reports and findings to senior level technical and non-technical audiences
Certifications:

Company Overview

At Fidelity, we are focused on making our financial expertise broadly accessible and effective in helping people live the lives they want. We are a privately held company that places a high degree of value in creating and nurturing a work environment that attracts the best talent and reflects our commitment to our associates. We are proud of our diverse and inclusive workplace where we respect and value our associates for their unique perspectives and experiences. For information about working at Fidelity, visit FidelityCareers.com.

Fidelity Investments is an equal opportunity employer.

Fidelity will reasonably accommodate applicants with disabilities who need adjustments to complete the application or interview process. Please email us at accommodations@fmr.com or 800-835-5099, prompt 2, option 2 if you would like to request an accommodation.",4.1,Fidelity Investments,"Boston, MA",10000+ Employees,1946,Company - Private,Investment Banking & Asset Management,Finance,$10+ billion (USD)
Commercial Lines - Associate Data Analyst,$47K - $85K,Commercial Lines - Associate Data Analyst,3.7,Arbella Insurance,"Quincy, MA",1001 to 5000 Employees,1988,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD)
Senior Data Engineer,$47K - $85K,"Datascan is a provider of wholesale and audit intelligence in the automotive industry. Datascan’s solutions are the most comprehensive in the industry, providing banks, independent finance companies, and captive financial institutions with clarity critical to their success – helping them manage risk while increasing productivity and profits. All of our solutions are web-based and delivered from our state-of-the-art DataScan-managed data centers.",3.2,DataScan,"Alpharetta, GA",201 to 500 Employees,-1,Company - Private,Consulting,Business Services,$5 to $10 million (USD)
Data Scientist,$47K - $85K,,4.0,National Security Agency,"Fort Meade, MD",Unknown,-1,Government,Federal Agencies,Government,Unknown / Non-Applicable
Data Scientist (Federal),$47K - $85K,"C3.ai is a leading enterprise AI software provider for accelerating digital transformation. The comprehensive and proven C3 AI Suite uses a model-driven abstraction layer to enable organizations to develop, deploy, and operate enterprise scale AI applications 40x to 100x faster than alternative approaches. www.c3.ai",4.7,C3.ai,"Washington, DC",501 to 1000 Employees,2009,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
Entry-Level Scientist,$47K - $85K,"SCS Engineers is an employee-owned environmental consulting and contracting firm that designs and implements sustainable environmental solutions. We just celebrated our 50th anniversary as a company on April 1, 2020! Our core capabilities are: solid and hazardous waste management, landfill gas, environmental due-diligence and assessment, brownfields redevelopment , site remediation, renewable energy, and regulatory compliance for businesses and municipalities responsible for protecting our air, water, and soil. Our employees take pride in their work, and together, we have the singular vision to be the environmental firm of choice for clients and our employee owners. If you thrive in a friendly, collaborative company and desire dynamic and challenging work among a team of innovative individuals, then SCS is the place for you. Are you up for the challenge?",4.0,SCS Engineers,"Wichita, KS",501 to 1000 Employees,1970,Company - Private,Architectural & Engineering Services,Business Services,$100 to $500 million (USD)
(Sr.) Data Analyst,$47K - $85K,"The (Sr.) Data Analyst is responsible for leading, planning and coordinating PJM's data design efforts, from the investigation of all required data sources for completeness and accuracy, through implementation of the completed design. This includes the routines used to obtain, transform, and store the requisite data. The data analyst is responsible for:",3.7,PJM Interconnection,"Audubon, PA",501 to 1000 Employees,1927,Other Organization,Energy,"Oil, Gas, Energy & Utilities",$100 to $500 million (USD)
"Synthetic chemistry pharmaceutical research scientists, Groton, CT",$47K - $85K,"SYNTHETIC CHEMIST RESEARCH POSITIONS: Avisyn seeks PhD or highly experienced MSc-level synthetic chemists with experience in heterocycle, organometallic, and related pharmaceutical organic chemistry synthesis.",-1,Avisyn Pharma,"Groton, CT",-1,-1,-1,-1,-1,-1
Data Engineer,$47K - $85K,Join a team of financial software specialists responsible for the acquisition and management of financial market and related data required for research implementation of systematic trading strategies.,4.7,STEVENS CAPITAL MANAGEMENT LP,"Philadelphia, PA",51 to 200 Employees,2002,Company - Private,Financial Analytics & Research,Finance,Unknown / Non-Applicable
Palantir Foundry Trainer/Data Analyst,$47K - $85K,Short term work for 2 mid’s or 1 sr is needed till late Jan. They need to have Palantir Foundry experience. Experience with Python is a requirement for using Foundry so any candidates you get who have both Foundry experience likely already have Python even if they don’t have one.,4.6,Shine Systems,"Atlanta, GA",51 to 200 Employees,2008,Company - Private,Consulting,Business Services,Unknown / Non-Applicable
Senior Data Scientist,$47K - $85K,"We are looking for a Data Scientist who will be responsible for shaping our company’s data strategy innovating the $85B digital and linear television advertising market. You are passionate about all things data and tech, and have extensive knowledge of the digital space. You are accomplished in the areas of creating new analysis and deriving business-changing insights and you are ready to support the strategic objectives of a highly cross-functional organization.",3.6,VideoAmp,"Los Angeles, CA",51 to 200 Employees,2014,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Senior Data Engineer,$47K - $85K,"DISQO is a next-generation consumer insights platform. We provide the highest quality consumer data to the world's largest market research agencies, analytics companies, and brands. We operate one of the world's largest true consumer insights panels. This data helps our clients understand user behavior, build better experiences, and make better decisions. We utilize cutting-edge technology and innovative, out-of-the-box strategies to collect and analyze insights which help shape the products and services of tomorrow.",4.8,DISQO,Remote,51 to 200 Employees,2014,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable
Data Engineer - ETL,$47K - $85K,Cortica is looking for aData Engineer - ETLto join its growing multi-disciplinary team!,4.4,Cortica,"San Diego, CA",201 to 500 Employees,2014,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Machine Learning Engineer,$47K - $85K,"CircleUp harnesses the power of machine learning and predictive analytics to discover some of the fastest-growing companies in the consumer & retail sector. We are building a predictive data system called ""Helio"" to bring the data-driven revolution that has occurred in the public markets to the private markets, starting with consumer & retail.",4.5,CircleUp,"San Francisco, CA",51 to 200 Employees,2012,Company - Private,Venture Capital & Private Equity,Finance,Unknown / Non-Applicable
Data Engineer,$47K - $85K,Overview,4.1,Excella Consulting,"Arlington, VA",201 to 500 Employees,2002,Company - Private,Consulting,Business Services,$50 to $100 million (USD)
Senior Data Analyst,$47K - $85K,Senior Data Analyst,3.6,Benefits Data Trust,"Philadelphia, PA",201 to 500 Employees,2005,Nonprofit Organization,Social Assistance,Non-Profit,$10 to $25 million (USD)
Sr. Scientist,$47K - $85K,"Description:

JOB SUMMARY
Contribute to the overall success of GRAM’s analytical operations on behalf of our customers through contributing to an efficient Analytical Chemistry group in order to develop and transfer drugs into the GRAM facility. This role is responsible to create and oversee various studies including troubleshooting and problem solving for customer products. The individual will develop, transfer and validate analytical methods to support clinical and commercial manufacturing of sterile drug products.
ESSENTIAL DUTIES AND RESPONSIBILITIES
Provide expertise in chromatography and spectrometry.
Solve complex analytical problems as well as recommend/implement continuous laboratory improvements.
Provide expertise in ICH Stability and test method development and validation.
Provide expertise in USP analytical method requirements.
Participate in discussions and recommend capital equipment investments for the department.
Deliver on departmental strategy through innovation, use of automation, and efficiency.
Work effectively in a team to achieve goals.
Communicate effectively in written and oral form. Write detailed scientific reports with full experimental details and give proper presentations.
Maintain clear, detailed, and up-to-date laboratory notebooks according to internal policies.
Follow safe laboratory practices and comply with EHS, safety officers, and delegates to ensure that the laboratory is a safe environment. Recognizes potential safety issues, discusses them with EHS and management, and takes action to rectify them.
Assume responsibility for laboratory equipment, ensure equipment is properly maintained and serviced.
Work closely with Manufacturing, Quality Assurance, Quality Control, Project Management, and Business Development.
Open to a flexible and fluid work environment.
Support Agency, customer and vendor audits as needed.
Responsible for exhibiting professional behavior with both internal/external business associates that reflects positively on the company and is consistent with the company's policies and practices.
Perform all other tasks, projects, and duties as assigned.
. Requirements:

DESIRED SKILLS AND ABILITIES
Advanced analytical chemistry skills (understanding, use, interpretation, and troubleshooting of HPLC, GC, FTIR, and UV).
Extensive knowledge and hands-on experience of drug formulation, and analytical validation for parenteral dosages.
Strong science and reasoning skills. The ability to plan, execute, critically interpret, and track the results from a logical progression of experiments in order to efficiently obtain definitive results.
Demonstrated ability to design and execute experiments using different laboratory instruments independently and author summary reports.
Understanding of pharmaceutical manufacturing and analytical labs in regulated environments under FDA, ICH, and EMA guidelines.
Ability to work with a diverse customer base.
Strong attention to detail; Ability to complete tasks with accuracy and efficiency.
Portrays appropriate levels of integrity and professionalism.
Capable of being the project lead for the Analytical Technical Services team
Excellent written and verbal skills; Ability to communicate effectively with clients, management and staff by exhibiting excellent interpersonal skills.
Energetic, self-motivated, organized individual who is accustomed to working in a deadline-focused, high-pressure entrepreneurial environment.
Results oriented and efficient; Acts with a sense of urgency.
Creative and open-minded individual who fosters an environment in which sharing of ideas is encouraged.
A Leader who is capable of training and overseeing other team members as necessary.
Demonstrates confidence in decision making ability and makes decisions while assessing risks.
Takes accountability and ownership.
Ability to work well independently and in a cross-functional team environment. Efficient team management skills.
Must have proficient computer skills in Microsoft Word, Excel and Outlook, Chromatographic Data Systems, and Document Management Systems.
Must be able to communicate in a professional manner with clients and regulatory agencies.
Qualified candidates possess a Ph.D. in Analytical Chemistry or closely related field with 5-10 years’ experience, or M.S. in Analytical Chemistry or closely related field with 7-12 years’ experience, knowledge of GLP and cGMP, and direct work experience in a laboratory environment. Equipment qualification/validation experience not required, but preferred",3.6,Grand River Aseptic Manufacturing,"Grand Rapids, MI",51 to 200 Employees,-1,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Less than $1 million (USD)
Data Analyst,$47K - $85K,"As a Data Analyst, you’ll be responsible for accurate reporting and advanced analytics of Patient & Provider data out of enterprise solutions for state and federal government, private healthcare systems, and health information exchanges.
We are a highly motivated small team and need someone who can complement our entrepreneurial spirit. We would need someone who is also a self-starter and can work independently to produce high quality work.
What you’ll do:
Detailed Analysis & Profiling of Patient & Provider data to generate insights, and KPIs
Build SQL tables, metrics, reports, and dashboards that help us understand the health of Patient & Provider data in MDM, and other applications
Identify patterns of data in MDM (like Twins, Recently Married, Father-Son etc.)
Monitor and maintain data quality, stability, and trustworthiness of reports
Conduct exploratory analyses of Patient & Provider data for improvement opportunities in applications, not actively monitored by stakeholders
Communicate the interesting and hard-to-find insights into a compelling, concise data story to engineering, product and executive team
Manage multiple job duties through efficient task management
What you’ll need:
4+ years working experience performing data analysis against multiple data sources
Experience working with Python or R for conducting advanced data analysis
Experience working with analytics tools such as Tableau
Database experience in at least one RDBMS
A track record of conducting high impact analyses and building useful data tools with demonstrable business results
Bachelor’s degree in computer science, engineering, or related field
Excellent analytical and problem-solving skills
Excellent communication skills (written and verbal)
Preferred skills & experience:
Experience in analysis of patient & provider Master/Identity data (False Positives, False Negatives, Probabilistic Matching)
AHIMA RHIA or RHIT certification preferred
Experience in a healthcare preferred
Experience with IBM Infosphere Master Data Management Standard Edition (or Initiate)
Database experience in Oracle, DB2 and Microsoft SQL Server
Experience using Linux
Experience doing data analysis by using AWS services
Familiarity with HL7 messaging standard (version 2.x and CDA) & IHE profiles (PIX, PDQ, & XCPD)
Experience with ETL products
What Makes You a Great Fit for Audacious Inquiry:
You are a lifelong learner and passionate about learning new things, taking on new challenges, and continually improving.
You thrive in a challenging and collaborative environment.
You are solution-driven with an ability to understand the big picture
You have great analytical and problem-solving skills.
You have strong communication skills and an ability to synthesize information.
Highly organized, detail oriented, and able to work autonomously with minimal direction.
What Audacious Inquiry Offers:
Working with and learning from the top talent in the healthcare IT industry in the US – we are thought leaders in health information technology and policy. Our team is passionate about making healthcare more connected and we love to share our knowledge and learn from each other.
Making a real difference in the healthcare industry on a large scale and improving healthcare outcomes for individual patients – you’ll get to work on really cool projects and feel good about the work you’re doing. Check out the case studies on our website for examples!
Performance bonuses – we ask for high performance from our team and we make sure to recognize and reward high performance with competitive compensation and annual bonuses.
Growth and professional development – we’re invested in every Ai team member and we encourage our team to pursue opportunities to grow their skills, and make sure you have a path for growth at Ai that you’re excited about.
Benefits and perks – we cover the full cost of health insurance for employees and most of the cost for dependents, along with a full suite of benefits, including 401k matching, monthly wellness bonuses, cell phone reimbursement, paid time off, and a lot more.
Our culture – this is one of the best things about working with Audacious Inquiry, and one of the things we’re most proud of. We’re inclusive, we’re collaborative, we’re supportive, and it’s fun here! Check out our careers page and our social media for some recent examples.

The Data Analyst position may include access to protected health information (PHI) and confidential information. The successful candidate will be required to complete training and must handle all PHI appropriately according to Ai policies, and all applicable laws and regulations.

Ai is an Affirmative Action/Equal Opportunity Employer.
Audacious Inquiry is deeply committed to the principles of equity, diversity, and inclusiveness. We seek to create a pluralistic community for all team members, and we are proud to be an Affirmative Action/Equal Opportunity employer. We encourage all people to apply.",4.2,Audacious Inquiry,"Baltimore, MD",51 to 200 Employees,2004,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
Senior Data Analyst,$47K - $85K,,4.1,MMM Holdings,"White Plains, NY",1001 to 5000 Employees,-1,Company - Private,Insurance Carriers,Insurance,Less than $1 million (USD)
Data Analyst,$47K - $85K,"Data Analyst
Corporate Office, 1251 1st Avenue, Chippewa Falls, Wisconsin, United States of America Req #32
 Tuesday, November 10, 2020
Mason Companies is a family-owned, multi-channel retailer located in West-Central Wisconsin that has proudly been in business for more than 115 years. We own and operate 10 businesses that sell everything from shoes and apparel to bedding and electronics through our E-Commerce websites and direct mail catalogs. Some businesses offering our own proprietary credit payment option. We have a strong commitment to support the communities where we work and live.
Who We’re Looking for:
You are a trusted partner. When someone comes to you with a data need, you ask what, how, when, and then help them narrow in on their needs, present other ideas/areas for them to consider, and create something actionable.
You are a builder and automator. Improving current processes, system usage, dashboards, and Excel functions. You know how to build tools, reporting and automations to make data easy to access and understand.
You are comfortable working with a variety of existing data sets. Campaign analytics, customer call volume, average handling times, sales data, etc.
You know how and when to use data to get the answers you and others need.
Your Primary Duties:
Partner with Customer Care Operations and Marketing colleagues to understand the customer’s purchase journey and how to staff the Contact Centers appropriately in order to handle customer’s orders, service and escalation calls.
Find and understand the KPIs that have the most influence on our Customer’s journey and experience, then factor this information into staffing and workforce adjustments.
Build and maintain Dashboard and Scorecard reporting.
Your everyday responsibilities include:
Critically think about any priority, methodology, process, requirement, and/or request impacting workforce management and customer experience.
Design new methodologies, pull necessary data, and build accurate models and reports
Collaborate across internal teams and help them become more data savvy and improve performance management.
Communicate and visualize insights to multiple levels of stakeholders with clarity and a focus on informed decision-making on workforce staffing and management based on historical and forecasted marketing and customer purchasing journey.
 The above listing of essential functions is not an inclusive listing of all duties that may be required to be performed.
SUPERVISORY RESPONSIBILITIES:
This position supervises Customer Care Real-Time Analyst
COMPETENCIES:
Strong analytical abilities using historical data to build forecasting models.
Ability to conduct statistical analysis.
Position requires strong technical, communication and management skills, contact center experience is a plus.
Strong collaboration and reporting skills.
Excellent interpersonal, oral and written communication skills.
Ability to work with and present data and other information to all levels of the organization.
Strong PC skills (including, but not limited to Microsoft Products and Visual Basic is a plus)
Strong Microsoft Excel experience required including Pivot Tables, If Statements, VLookup and other forecasting formulas
Erlang C is a plus
Ability to manage multiple tasks.
Understanding of call center metrics, tools and workforce management technologies is a plus
EDUCATION and/or EXPERIENCE
Bachelor’s degree in data analytics, statistics, economics, business management, math, or related field
Two to four years’ experience in a data analyst role
Experience managing data streams from multiple data sources
Experience in a contact center workforce management function is preferred
Other details
Pay Type Salary Job Start Date Monday, October 26, 2020",3.6,"Mason Companies, Inc.","Chippewa Falls, WI",201 to 500 Employees,-1,Company - Private,"Department, Clothing, & Shoe Stores",Retail,$100 to $500 million (USD)
Principal Data Scientist,$47K - $85K,"GSN Games, a subsidiary of Sony Pictures Entertainment, is looking for a",4.5,GSN Games,"Mountain View, CA",201 to 500 Employees,1999,Company - Private,Video Games,Media,Unknown / Non-Applicable
